accuracy,alpha
0.981717451524,2.0
0.982271468144,3.0
0.982825484765,4.0
0.983379501385,5.0
0.982825484765,6.0
0.982825484765,7.0
0.981717451524,8.0
0.980609418283,9.0
0.981163434903,10.0
0.981163434903,11.0
0.981163434903,12.0
0.980055401662,13.0
0.980609418283,14.0
0.980609418283,15.0
0.980609418283,16.0
0.980055401662,17.0
0.980055401662,18.0
0.980609418283,19.0
0.980609418283,20.0
0.980609418283,21.0
0.980609418283,22.0
0.979501385042,23.0
0.979501385042,24.0
0.979501385042,25.0
0.979501385042,26.0
0.979501385042,27.0
0.979501385042,28.0
0.979501385042,29.0
0.978947368421,30.0
0.978393351801,31.0
0.978393351801,32.0
0.978393351801,33.0
0.978393351801,34.0
0.97783933518,35.0
0.97783933518,36.0
0.97728531856,37.0
0.97728531856,38.0
0.97728531856,39.0
0.976731301939,40.0
0.975623268698,41.0
0.976177285319,42.0
0.976731301939,43.0
0.976731301939,44.0
0.976731301939,45.0
0.976177285319,46.0
0.975623268698,47.0
0.975069252078,48.0
0.975069252078,49.0
0.975069252078,50.0
0.974515235457,51.0
0.975069252078,52.0
0.975069252078,53.0
0.975069252078,54.0
0.973961218837,55.0
0.973961218837,56.0
0.973407202216,57.0
0.973961218837,58.0
0.973961218837,59.0
0.973961218837,60.0
0.973407202216,61.0
0.973407202216,62.0
0.972853185596,63.0
0.972853185596,64.0
0.972299168975,65.0
0.971745152355,66.0
0.971745152355,67.0
0.971745152355,68.0
0.971745152355,69.0
0.971191135734,70.0
0.970637119114,71.0
0.970637119114,72.0
0.970083102493,73.0
0.970083102493,74.0
0.969529085873,75.0
0.969529085873,76.0
0.969529085873,77.0
0.969529085873,78.0
0.968975069252,79.0
0.968421052632,80.0
0.968421052632,81.0
0.967867036011,82.0
0.967867036011,83.0
0.967867036011,84.0
0.967867036011,85.0
0.967867036011,86.0
0.967867036011,87.0
0.967313019391,88.0
0.967313019391,89.0
0.967313019391,90.0
0.967313019391,91.0
0.967313019391,92.0
0.967867036011,93.0
0.967313019391,94.0
0.967313019391,95.0
0.967313019391,96.0
0.965650969529,97.0
0.965650969529,98.0
0.965650969529,99.0
0.965650969529,100.0
